,Change_Volume,Change_Citations,Change_Orgs,Change_Volume_Prev_1,Change_Citations_Prev_1,Change_Orgs_Prev_1,Change_Volume_Prev_2,Change_Citations_Prev_2,Change_Orgs_Prev_2,Change_Volume_Prev_3,Change_Citations_Prev_3,Change_Orgs_Prev_3
469,-0.12903225806451613,-0.28637347118457024,-0.07122507122507125,0.06372549019607843,-0.023844152434656426,0.11428571428571427,0.09090909090909091,-0.10018025699496326,-0.06965174129353233,0.07471264367816093,-0.03580258036179448,0.11724455177965619
119,0.20673076923076922,-0.19671167506766163,0.009124791157948899,0.16853932584269662,0.3569137034249141,0.01545822598454168,0.14838709677419354,-0.04514792048361781,0.0642946317103621,0.2809917355371901,0.718126230962745,-0.06650124069478909
397,0.038262668045501554,-0.31441488378644306,-0.007324659000564135,0.136310223266745,-0.06703770624188687,0.04833612808332334,0.1935483870967742,-0.23885177606455085,0.0506109773387043,0.14446227929373998,0.29110449788559223,0.07410554966185808
281,0.7931034482758621,0.2325229236719094,0.14725274725274726,0.9333333333333333,0.21827046210783305,-0.047186932849364774,-0.34782608695652173,0.19686161542138347,-0.11717171717171718,3.6,-0.39099783393449883,-0.28260869565217395
286,2.75,2.54890880234636,-0.11111111111111116,-0.5555555555555556,-0.013416490971438318,0.28571428571428564,1.25,-0.44409033046163254,0.3333333333333334,0.0,-0.9288179286414511,0.16666666666666666
271,0.28169014084507044,-0.5088673815293799,0.021716378859235958,0.2033898305084746,0.6369343618131663,0.026512013256006575,0.22916666666666666,0.0028768300457981365,-0.012106537530266375,0.23076923076923078,-0.06977037685388983,-0.27777777777777773
312,0.5217391304347826,-0.4519386908244301,-0.23629343629343627,0.045454545454545456,1.5762285780418706,-0.1573498964803313,0.5714285714285714,-0.3772041502348335,0.16205533596837954,-0.06666666666666667,-0.03437800078473783,0.29699248120300753
260,0.38271604938271603,0.193871837750203,0.0037715517241379867,0.17391304347826086,-0.12403425625044566,0.07407407407407407,0.46808510638297873,0.00945676300041398,-0.09178743961352663,0.20512820512820512,-0.23929676736582375,0.004479283314669718
315,0.40540540540540543,0.7328931500102281,0.0673076923076922,0.027777777777777776,0.5693915278676311,0.04416611733684915,0.02857142857142857,-0.23658341320509182,-0.07299741602067193,0.5217391304347826,-0.4519386908244301,-0.23629343629343627
413,0.08547008547008547,-0.21466140851592794,-0.06828614508292849,0.11961722488038277,-0.18306521333506953,0.07270781461582146,0.022004889975550123,0.15809524839864245,0.01837100003393399,0.22822822822822822,-0.19632551116617147,0.0436319182040453
48,0.1783783783783784,-0.07452280934059818,-0.21781644846387405,0.1858974358974359,0.24763551015442986,0.025763425763425735,0.2892561983471074,0.4377799239861656,0.053959276018099606,0.23469387755102042,-0.395874022541709,-0.10009182736455469
139,-0.06299212598425197,-0.03175581287224673,-0.004319046054175889,0.09482758620689655,-0.3491163171626677,0.003043331240036686,-0.025210084033613446,0.6986370713772184,-0.0046695402298851385,0.20202020202020202,-0.43840246688589973,-0.39756592292089243
361,0.3076923076923077,0.251646194527282,-0.1903114186851211,0.04,0.10165808037155565,0.1675824175824175,-0.07407407407407407,-0.037463434603017494,0.00800000000000005,1.7,-0.24238359818836863,0.11111111111111116
509,0.2916666666666667,-0.12718941414408977,0.01867572156196947,-0.1864406779661017,0.23522695434806928,0.0008928571428571873,0.20408163265306123,-0.2023039936775681,-0.06232914160743585,-0.20967741935483872,-0.25663330729317446,0.07464355605255801
22,0.10256410256410256,0.9305326897222316,-0.06956696070569372,0.25806451612903225,-0.07474738432200179,0.07215265354800247,0.273972602739726,0.4006084854532742,0.097648395838797,0.37735849056603776,-0.6974818760127626,-0.1495107632093933
276,-0.23529411764705882,0.09114346356708233,-0.14715719063545163,1.4285714285714286,0.7302826247659371,-0.0529411764705882,0.0,1.0215708265808918,0.11111111111111105,6.0,-0.0223046306919365,0.2857142857142858
187,0.875,1.1993151948086895,0.3999999999999999,-0.2,0.15240831186210296,-0.09090909090909098,0.6666666666666666,-0.6204519711441773,-0.05714285714285713,-0.3333333333333333,0.9717198841990142,-0.04545454545454547
288,0.3333333333333333,3.610701596462237,0.1625,0.2,-0.550223296139816,-0.16666666666666657,2.75,2.54890880234636,-0.11111111111111116,-0.5555555555555556,-0.013416490971438318,0.28571428571428564
284,0.23404255319148937,-0.3229805379887502,0.14921630094043886,-0.04081632653061224,0.6043495522700852,-0.2036052009456265,-0.057692307692307696,-0.26983205343724187,0.06122448979591845,0.7931034482758621,0.2325229236719094,0.14725274725274726
299,0.2727272727272727,1.4406856740649547,0.30952380952380965,0.2222222222222222,-0.6278482896863291,-0.10743801652892576,0.8,0.2784212136876067,-0.2361111111111111,1.5,0.6869824887205943,0.6000000000000001
58,0.32592592592592595,-0.07841479257474378,0.021548284118116618,0.10655737704918032,0.4892623578596259,-0.006976744186046583,0.4523809523809524,0.6433141621938658,-0.029293200752485846,0.3548387096774194,-0.47771640661805037,0.0005291005291004631
395,0.01536983669548511,-0.35132599790946295,0.02191268392264183,0.04939516129032258,-0.25979187988943087,0.024859968350759,0.09977827050997783,-0.20059728607612978,0.010575882225590014,0.15051020408163265,-0.087130200066478,0.0070587910742672495
30,0.1292372881355932,0.13311296802411757,0.04568094785268189,0.04424778761061947,-0.03844623562851758,0.08719719535018595,0.17708333333333334,0.2722349652931972,0.03263797112601827,0.6271186440677966,-0.24332430794562254,-0.011809777102330284
59,0.19553072625698323,-0.2307838395955638,-0.18642304322429912,0.32592592592592595,-0.07841479257474378,0.021548284118116618,0.10655737704918032,0.4892623578596259,-0.006976744186046583,0.4523809523809524,0.6433141621938658,-0.029293200752485846
222,-0.09302325581395349,1.8641287348888436,-0.11083540115798167,0.43333333333333335,0.357028082418845,0.08139534883720928,0.0,-0.46163852005787964,0.02564102564102555,0.42857142857142855,1.3709304095453114,0.18695652173913035
292,0.09523809523809523,0.42307340405762645,0.16764214046822742,1.1,0.03543962029316205,0.010689990281826978,0.15384615384615385,-0.34655801977504097,-0.4101851851851852,0.08333333333333333,-0.6844126610378287,0.0719602977667493
16,0.23624595469255663,0.06210721028693502,0.04001495886312628,0.45754716981132076,-0.12862255189294444,-0.11120917917034409,0.15217391304347827,-0.12296700626018214,-0.16722506318697478,-0.010752688172043012,0.12640551741559664,0.14256736068585432
318,0.08163265306122448,-0.6156710280125535,-0.05980172689478736,-0.07547169811320754,1.246107322487855,0.04616928738708602,0.019230769230769232,-0.26105271125525475,-0.09319611206403657,0.40540540540540543,0.7328931500102281,0.0673076923076922
491,0.28402366863905326,-0.4276279824885176,0.0420588044395405,0.0,0.018086564983155726,0.028985507246376826,0.2803030303030303,-0.31519472475858273,0.007354974285240288,0.0,0.21797272027263778,-0.053097345132743445
57,0.10655737704918032,0.4892623578596259,-0.006976744186046583,0.4523809523809524,0.6433141621938658,-0.029293200752485846,0.3548387096774194,-0.47771640661805037,0.0005291005291004631,0.9375,1.6525356979497625,0.08027006751687925
363,0.0,0.09620389892003463,-0.25,-0.3333333333333333,1.3123050992856928,1.0,0.5,-0.6509599525823165,0.0,-0.5,-0.15579699738217487,0.0
237,0.22093023255813954,0.7128514089579691,-0.005442176870748289,-0.033707865168539325,-0.4084355908116918,0.04232892755562989,0.8163265306122449,0.28077931084899205,-0.08895131086142315,-0.25757575757575757,-0.4203689352686558,0.05740987983978639
303,1.3571428571428572,1.4076887257459956,-0.10685805422647529,-0.125,-0.20829037124930624,0.08571428571428577,-0.15789473684210525,0.5667527803619465,-0.23387096774193547,0.35714285714285715,-0.3110927096578727,0.14210526315789468
311,0.045454545454545456,1.5762285780418706,-0.1573498964803313,0.5714285714285714,-0.3772041502348335,0.16205533596837954,-0.06666666666666667,-0.03437800078473783,0.29699248120300753,0.5,-0.2140193521166195,-0.15555555555555559
462,0.16988416988416988,-0.21515657394972687,0.030271239044434236,-0.015209125475285171,-0.30860163250336886,-0.014997561036104884,0.15859030837004406,0.30806022780133746,-0.12942538741387385,0.0966183574879227,-0.4297416033943335,0.024774389461528656
320,-0.375,-0.814009634551925,0.1636363636363637,0.14285714285714285,12.510129967009147,-0.25961538461538464,0.75,-0.14910680017721983,0.48571428571428577,0.0,1.2310973472160136,0.0
204,-0.08080808080808081,0.059669601008837884,-0.06628017651639705,0.17857142857142858,0.13671832183558033,0.06690669066906699,0.2923076923076923,-0.1865623311181336,-0.35938719750195164,0.22641509433962265,0.39419392462565583,0.3089068825910932
251,0.05172413793103448,-0.458781359896153,0.0795020337729569,0.22105263157894736,0.1111821606923653,-0.027478448275861964,0.26666666666666666,0.7371684074493909,-0.03890160183066363,0.13636363636363635,0.08702116931918653,0.07946666666666649
55,0.3548387096774194,-0.47771640661805037,0.0005291005291004631,0.9375,1.6525356979497625,0.08027006751687925,-0.21951219512195122,-0.49020679259852085,0.001704545454545394,0.5769230769230769,0.061845314041270014,0.08993902439024391
38,0.4396135265700483,0.13217365252583127,-0.03536310731565916,0.3708609271523179,-0.16868525756837796,-0.1776402685049485,0.8192771084337349,-0.49127913921398014,-0.015022889906218037,-0.04597701149425287,1.7820892850502308,-0.01773130256876574
249,0.26666666666666666,0.7371684074493909,-0.03890160183066363,0.13636363636363635,0.08702116931918653,0.07946666666666649,0.11864406779661017,-0.0791178592038648,-0.05569782330345695,0.5526315789473685,-0.3067266007354854,-0.06675890695261164
232,-0.09523809523809523,-0.14506491556277018,0.06779661016949161,0.10526315789473684,0.6537989256227885,-0.046768707482993215,0.4074074074074074,0.014279784606214381,0.020242914979757047,0.42105263157894735,0.5126817967671955,0.2474747474747474
223,0.5897435897435898,-0.6534459496730591,0.08193548387096773,-0.09302325581395349,1.8641287348888436,-0.11083540115798167,0.43333333333333335,0.357028082418845,0.08139534883720928,0.0,-0.46163852005787964,0.02564102564102555
105,0.3037974683544304,1.7443148110843398,0.0737864077669904,0.27419354838709675,-0.2755574947286665,-0.07382655869172104,0.30526315789473685,-0.01845691674903995,-0.22423412456887815,0.35714285714285715,-0.08279747000979495,-0.08470394736842098
115,0.17475728155339806,-0.13715260538050236,0.09664209664209673,0.00980392156862745,0.2991553489188185,-0.24710732810214128,0.07368421052631578,-0.4562701473097572,0.046003016591251875,0.25,0.07534424798780663,-0.09565217391304341
206,0.44545454545454544,0.8908021254875056,0.09235352532274084,0.2087912087912088,-0.25508951869858304,0.009424520433694695,-0.08080808080808081,0.059669601008837884,-0.06628017651639705,0.17857142857142858,0.13671832183558033,0.06690669066906699
69,0.14594594594594595,-0.30984507372687375,-0.08018867924528303,0.2937062937062937,0.9615929752826105,0.12894736842105267,0.4444444444444444,-0.08903429506403988,-0.23375653472740857,-0.08333333333333333,-0.02193821739466807,0.15244755244755248
269,0.22916666666666666,0.0028768300457981365,-0.012106537530266375,0.23076923076923078,-0.06977037685388983,-0.27777777777777773,0.21875,-0.027418335646676,0.20214669051878356,-0.058823529411764705,-0.24521644162209041,-0.06760204081632652
67,0.4444444444444444,-0.08903429506403988,-0.23375653472740857,-0.08333333333333333,-0.02193821739466807,0.15244755244755248,0.27058823529411763,0.9766634649677162,0.07323232323232323,0.19718309859154928,-0.4176869385820595,-0.10860403863037749
23,0.06976744186046512,-0.4769854632795104,0.0172634271099744,0.10256410256410256,0.9305326897222316,-0.06956696070569372,0.25806451612903225,-0.07474738432200179,0.07215265354800247,0.273972602739726,0.4006084854532742,0.097648395838797
197,0.0718562874251497,0.03843202533425468,0.0034512725015517897,0.10596026490066225,-0.052001932281580204,0.022327204886708994,0.09420289855072464,-0.045444037351054775,0.06980911569925996,1.0597014925373134,-0.12518963373326253,-0.05130767949358658
239,0.057692307692307696,0.28608383279527244,-0.12518286311389762,-0.009523809523809525,-0.21392070736840346,0.03337104072398192,0.22093023255813954,0.7128514089579691,-0.005442176870748289,-0.033707865168539325,-0.4084355908116918,0.04232892755562989
24,0.16666666666666666,1.3559558276876265,0.059018201875344775,0.06976744186046512,-0.4769854632795104,0.0172634271099744,0.10256410256410256,0.9305326897222316,-0.06956696070569372,0.25806451612903225,-0.07474738432200179,0.07215265354800247
230,0.16993464052287582,0.022195838607875586,0.06468685680682142,0.05517241379310345,-0.4336215884808704,-0.03536414565826336,0.6111111111111112,0.16426570139017432,0.06403940886699526,0.21621621621621623,0.8144743150064149,-0.052026143790849785
495,0.21787709497206703,-0.4467003050515291,-0.007567001372534743,0.11180124223602485,-0.12937095966195006,-0.055958262154300754,0.3644067796610169,-0.09492795178182534,-0.13055657045426872,0.14563106796116504,-0.36097319843981696,0.17149866190900984
207,-0.050314465408805034,-0.3011976726212263,-0.04228949858088924,0.44545454545454544,0.8908021254875056,0.09235352532274084,0.2087912087912088,-0.25508951869858304,0.009424520433694695,-0.08080808080808081,0.059669601008837884,-0.06628017651639705
90,0.12790697674418605,0.7824701807967317,0.13420637131977325,0.3870967741935484,0.5732743680363692,0.012952605239917649,0.8235294117647058,-0.0028682557881258026,-0.015395894428152559,-0.20930232558139536,-0.3813957335111927,-0.05682951146560314
