,Country,a,b,c,d
0,Germany,89.03755018135097,0.35401766049399425,7.0921211500659025,0.0006778228060692281
1,France,100.84324221704662,0.3098002732532798,8.347899278077504,0.011622994551170496
2,Australia,143.9169411828097,0.2874740235578779,9.370554133230005,0.19566948926602837
3,Brazil,101.68135154528063,0.2551759788771448,11.066315899597967,0.015894572980365562
4,Italy,53.41144363484401,0.5098164129865052,5.108911338955521,0.01779885779485906
5,Spain,86.38001559326709,0.3364355094581381,7.672175589000077,0.008025688898926681
6,Canada,112.96084777528203,0.3373767006440726,8.05415410306908,0.001387537572109679
7,Netherlands,129.5746259380235,0.3235559886391872,7.755633526502397,0.0008729627556543154
8,Switzerland,149.1295289872942,0.280598178983383,9.053448145217525,0.0006167551029084466
9,India,47.11710797522915,0.454146335246957,6.202834882786523,0.026549915103566524
10,Sweden,150.77054414726217,0.2756429921179212,8.936637330182124,0.0014607796834396893
11,South Africa,128.391859593252,0.29578001548388216,10.093762167902854,0.14278241767176636
12,Mexico,172.1420335314514,0.21820885618013025,14.432217343075441,0.0007975387311433012
13,Japan,51.21564934668161,0.44399119606448006,5.791872473202817,0.0038854142180784284
14,Belgium,82.54007304919287,0.32032745277613606,7.104972829903772,0.006230208385672347
15,Russia,34.66707545498973,0.7269039489220204,4.4202802595637545,0.06658569208405386
16,Poland,40.57445415426698,0.5787922366493142,4.893812196877573,0.00017397588489644067
17,Portugal,150.01477382694839,0.2248089206934467,12.793532362058063,7.959161121178384e-05
18,Finland,90.40855170043487,0.3589360483359538,6.983995411683003,0.0016836748537737904
19,Czech Republic,77.2842619766982,0.41519467698588014,6.930179493829719,0.018133144189274333
20,Denmark,112.12252727752359,0.4098323605578156,6.658663471352964,0.0025537494343496462
21,New Zealand,133.7751414832513,0.34261527787788587,8.62708504805714,0.01826993774501688
22,Austria,72.81222443915149,0.44977275651973636,4.994715647436267,0.009310272320556898
23,Argentina,434454.5368490006,0.12819478866377976,81.20266683973097,2.4482329741176048e-244
24,Norway,110.95734088048499,0.31677723311012534,7.936679081459224,0.08534544817256082
25,Indonesia,67.5390589918167,0.5878984418474619,7.530720609947863,0.0037578940148448605
26,Chile,324.83403872024695,0.17779665127820507,20.505146022661243,0.0004683677220402845
27,Colombia,73.30406031475069,0.4477964905955021,6.2481146803726615,0.02743661483981854
28,Israel,70.08833915484554,0.6404023824403372,5.196530577209283,0.012055708516878684
29,Costa Rica,115.14915373285366,0.45603858241053247,7.717911668992713,6.7445323534936e-05
30,Peru,76.1110119582258,0.5783214117971354,5.720037243976741,0.030981371554797077
